ticker,security,sector,cashRatio,currentRatio,earningsBeforeInterestAndTax,grossProfit,netCashFlow,quickRatio
AAL,American Airlines Group,Industrials,51,73,5496000000,29894000000,-604000000,67
AAPL,Apple Inc.,Tech.,52,111,72515000000,93626000000,7276000000,108
ABT,Abbott Laboratories,Health Care,77,150,7331000000,18359000000,51000000,134
ADBE,Adobe Systems Inc,Tech.,180,218,937965000,4051194000,-240840000,218
AIG,"American International Group, Inc.",Financials,,,4562000000,21746000000,-129000000,
AMZN,Amazon.com Inc,Consumer Disc.,58,105,2027000000,35355000000,1333000000,75
AON,Aon plc,Financials,,,1962000000,11682000000,10000000,
ATVI,Activision Blizzard,Tech.,70,130,1319000000,3079000000,-3025000000,125
AXP,American Express Co,Financials,,,9086000000,0,474000000,
BA,Boeing Company,Industrials,24,135,7430000000,14026000000,-431000000,42
BAC,Bank of America Corp,Financials,,,31842000000,0,20764000000,
BAX,Baxter International Inc.,Health Care,128,205,554000000,4146000000,-712000000,177
BBBY,Bed Bath & Beyond,Consumer Disc.,51,210,1554293000,4619779000,509058000,70
BBY,Best Buy Co. Inc.,Consumer Disc.,50,148,1477000000,9047000000,-52000000,81
